经营者年龄,年龄分组描述,婚姻状态,户籍类型,本地居住年限,经营类型,资产等级,住房所有权,资产持有年限,贷款金额_万元,贷款金额分组描述,贷款期限_月,还款负担等级,其他负债_万元,贷款资产比,征信等级,行内评分,历史贷款笔数,账户活跃度,储蓄账户等级,稳定性评分,违约概率,风险评分,风险等级,重庆三农客户评分,客户等级,柑橘产业细分,是否违约,反洗钱行业分类,企业名称,风险特征描述
36,中年骨干(35-44岁),已婚,本地户籍,2,水果种植,1,租赁房产,3,19.525,小型贷款(5-20万),11,2,0.015,1.775,4,1,2,1,1,2,0.251860842,25.18608419,中风险,74.81391581,良好客户,传统散户种植,0,信息技术/软件服务,新疆盛制造实业有限公司_0010,企业名称：新疆盛制造实业有限公司_0010；所属行业：信息技术/软件服务；资产规模等级：1.00；贷款金额（万元）：19.52；贷款期限（月）：11.00；还款负担水平：2.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中风险；预测违约概率：0.25；综合风险得分：25.19；历史违约记录：0.00
24,青年创业者(25岁以下),其他,本地户籍,4,水果种植,3,租赁房产,4,30.935,中型贷款(20-50万),30,1,0.015,0.997903226,4,2,2,1,2,1,0.361719467,36.1719467,中高风险,63.8280533,良好客户,中型专业种植,0,贵金属/珠宝首饰经营,福建兴科技基金管理有限公司_0011,企业名称：福建兴科技基金管理有限公司_0011；所属行业：贵金属/珠宝首饰经营；资产规模等级：3.00；贷款金额（万元）：30.93；贷款期限（月）：30.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中高风险；预测违约概率：0.36；综合风险得分：36.17；历史违约记录：0.00
31,青壮年主力(25-34岁),已婚,本地户籍,4,水果种植,3,自有房产,4,9.785,小型贷款(5-20万),6,1,0.015,0.315645161,4,2,1,1,1,3,0.235581846,23.5581846,中风险,76.4418154,良好客户,中型专业种植,0,物流/运输业,海南昌制造装饰工程有限公司_0012,企业名称：海南昌制造装饰工程有限公司_0012；所属行业：物流/运输业；资产规模等级：3.00；贷款金额（万元）：9.79；贷款期限（月）：6.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：1.00；账户交易活跃度：1.00；系统风险评级：中风险；预测违约概率：0.24；综合风险得分：23.56；历史违约记录：0.00
31,青壮年主力(25-34岁),已婚,本地户籍,4,畜禽养殖,4,自有房产,1,37.91,中型贷款(20-50万),48,2,0.015,0.924634146,3,2,1,2,2,3,0.441812327,44.18123269,中高风险,55.81876731,一般客户,非柑橘产业,0,房地产投资/开发,湖南兴贸易有限责任公司_0013,企业名称：湖南兴贸易有限责任公司_0013；所属行业：房地产投资/开发；资产规模等级：4.00；贷款金额（万元）：37.91；贷款期限（月）：48.00；还款负担水平：2.00；征信评分等级：3.00；历史贷款次数：1.00；账户交易活跃度：2.00；系统风险评级：中高风险；预测违约概率：0.44；综合风险得分：44.18；历史违约记录：0.00
23,青年创业者(25岁以下),其他,本地户籍,4,蔬菜种植,3,租赁房产,4,9.68,小型贷款(5-20万),18,2,0.015,0.312258065,2,2,2,1,5,1,0.430094188,43.00941881,中高风险,56.99058119,一般客户,非柑橘产业,0,典当行/拍卖行,湖南昌金融科技发展有限公司_0014,企业名称：湖南昌金融科技发展有限公司_0014；所属行业：典当行/拍卖行；资产规模等级：3.00；贷款金额（万元）：9.68；贷款期限（月）：18.00；还款负担水平：2.00；征信评分等级：2.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中高风险；预测违约概率：0.43；综合风险得分：43.01；历史违约记录：0.00
44,中年骨干(35-44岁),已婚,本地户籍,3,水果种植,1,租赁房产,3,13.235,小型贷款(5-20万),6,2,0.015,1.203181818,2,1,1,1,3,2,0.198601289,19.86012892,中风险,80.13987108,优质客户,传统散户种植,0,制造业（含加工）,广西盛信息物流有限公司_0015,企业名称：广西盛信息物流有限公司_0015；所属行业：制造业（含加工）；资产规模等级：1.00；贷款金额（万元）：13.23；贷款期限（月）：6.00；还款负担水平：2.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：1.00；系统风险评级：中风险；预测违约概率：0.20；综合风险得分：19.86；历史违约记录：0.00
40,中年骨干(35-44岁),已婚,本地户籍,2,蔬菜种植,1,自有房产,3,19.695,小型贷款(5-20万),11,1,0.015,1.790454545,4,1,2,1,1,3,0.201900734,20.19007337,中风险,79.80992663,良好客户,非柑橘产业,0,建筑施工/工程承包,云南兴制造物流有限公司_0016,企业名称：云南兴制造物流有限公司_0016；所属行业：建筑施工/工程承包；资产规模等级：1.00；贷款金额（万元）：19.70；贷款期限（月）：11.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中风险；预测违约概率：0.20；综合风险得分：20.19；历史违约记录：0.00
25,青壮年主力(25-34岁),其他,本地户籍,3,水果种植,1,租赁房产,2,16.065,小型贷款(5-20万),18,1,0.015,1.460454545,2,2,1,2,3,1,0.199585647,19.95856469,中风险,80.04143531,优质客户,传统散户种植,0,制造业（含加工）,甘肃昌制造物流有限公司_0017,企业名称：甘肃昌制造物流有限公司_0017；所属行业：制造业（含加工）；资产规模等级：1.00；贷款金额（万元）：16.07；贷款期限（月）：18.00；还款负担水平：1.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：2.00；系统风险评级：中风险；预测违约概率：0.20；综合风险得分：19.96；历史违约记录：0.00
36,中年骨干(35-44岁),已婚,本地户籍,4,水果种植,1,自有房产,5,11.685,小型贷款(5-20万),36,4,0.015,1.062272727,4,2,1,2,1,3,0.212411142,21.24111419,中风险,78.75888581,良好客户,传统散户种植,0,建筑施工/工程承包,内蒙古兴服务运输有限公司_0018,企业名称：内蒙古兴服务运输有限公司_0018；所属行业：建筑施工/工程承包；资产规模等级：1.00；贷款金额（万元）：11.69；贷款期限（月）：36.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：1.00；账户交易活跃度：2.00；系统风险评级：中风险；预测违约概率：0.21；综合风险得分：21.24；历史违约记录：0.00
39,中年骨干(35-44岁),已婚,本地户籍,4,蔬菜种植,2,自有房产,3,36.14,中型贷款(20-50万),11,1,0.015,1.720952381,4,2,2,4,1,3,0.05240147,5.240147024,低风险,94.75985298,优质客户,非柑橘产业,0,文化艺术/广告传媒,山东盛种植教育科技有限公司_0019,企业名称：山东盛种植教育科技有限公司_0019；所属行业：文化艺术/广告传媒；资产规模等级：2.00；贷款金额（万元）：36.14；贷款期限（月）：11.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：4.00；系统风险评级：低风险；预测违约概率：0.05；综合风险得分：5.24；历史违约记录：0.00
37,中年骨干(35-44岁),已婚,本地户籍,3,水果种植,1,租赁房产,3,18.38,小型贷款(5-20万),6,1,0.015,1.670909091,4,1,3,1,1,2,0.226459371,22.64593712,中风险,77.35406288,良好客户,传统散户种植,0,批发零售业,安徽隆物流实业有限公司_0020,企业名称：安徽隆物流实业有限公司_0020；所属行业：批发零售业；资产规模等级：1.00；贷款金额（万元）：18.38；贷款期限（月）：6.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：3.00；账户交易活跃度：1.00；系统风险评级：中风险；预测违约概率：0.23；综合风险得分：22.65；历史违约记录：0.00
49,成熟经营者(45-54岁),已婚,本地户籍,3,蔬菜种植,1,自有房产,2,15.62,小型贷款(5-20万),12,1,0.005,1.42,4,1,2,2,1,3,0.128814106,12.88141055,中低风险,87.11858945,优质客户,非柑橘产业,0,公共事业/市政服务,海南恒生态农业开发有限公司_0021,企业名称：海南恒生态农业开发有限公司_0021；所属行业：公共事业/市政服务；资产规模等级：1.00；贷款金额（万元）：15.62；贷款期限（月）：12.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：2.00；系统风险评级：中低风险；预测违约概率：0.13；综合风险得分：12.88；历史违约记录：0.00
33,青壮年主力(25-34岁),已婚,本地户籍,1,蔬菜种植,4,租赁房产,2,11.92,小型贷款(5-20万),36,4,0.015,0.290731707,2,2,1,2,1,2,0.575716206,57.57162063,高风险,42.42837937,一般客户,非柑橘产业,1,跨境贸易/进出口公司,山西通贸易资产管理有限公司_0022,企业名称：山西通贸易资产管理有限公司_0022；所属行业：跨境贸易/进出口公司；资产规模等级：4.00；贷款金额（万元）：11.92；贷款期限（月）：36.00；还款负担水平：4.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：2.00；系统风险评级：高风险；预测违约概率：0.58；综合风险得分：57.57；历史违约记录：1.00
26,青壮年主力(25-34岁),已婚,本地户籍,3,水果种植,2,自有房产,4,7.12,小型贷款(5-20万),12,4,0.015,0.339047619,4,2,1,2,1,3,0.202669953,20.26699535,中风险,79.73300465,良好客户,传统散户种植,0,信息技术/软件服务,宁夏达工程供应链管理有限公司_0023,企业名称：宁夏达工程供应链管理有限公司_0023；所属行业：信息技术/软件服务；资产规模等级：2.00；贷款金额（万元）：7.12；贷款期限（月）：12.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：1.00；账户交易活跃度：2.00；系统风险评级：中风险；预测违约概率：0.20；综合风险得分：20.27；历史违约记录：0.00
44,中年骨干(35-44岁),已婚,本地户籍,3,蔬菜种植,1,自有房产,2,23.58,中型贷款(20-50万),6,1,0.015,2.143636364,4,1,2,1,5,3,0.089894854,8.989485435,低风险,91.01051456,优质客户,非柑橘产业,0,公共事业/市政服务,台湾鑫种植专业合作社_0024,企业名称：台湾鑫种植专业合作社_0024；所属行业：公共事业/市政服务；资产规模等级：1.00；贷款金额（万元）：23.58；贷款期限（月）：6.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：低风险；预测违约概率：0.09；综合风险得分：8.99；历史违约记录：0.00
51,成熟经营者(45-54岁),已婚,本地户籍,4,水果种植,2,自有房产,4,23.855,中型贷款(20-50万),11,2,0.015,1.135952381,3,2,1,2,1,3,0.200793785,20.07937848,中风险,79.92062152,良好客户,传统散户种植,0,批发零售业,青海盛服务运输有限公司_0025,企业名称：青海盛服务运输有限公司_0025；所属行业：批发零售业；资产规模等级：2.00；贷款金额（万元）：23.86；贷款期限（月）：11.00；还款负担水平：2.00；征信评分等级：3.00；历史贷款次数：1.00；账户交易活跃度：2.00；系统风险评级：中风险；预测违约概率：0.20；综合风险得分：20.08；历史违约记录：0.00
24,青年创业者(25岁以下),已婚,本地户籍,4,水果种植,2,租赁房产,5,3.26,微型贷款(5万以下),12,4,0.015,0.155238095,2,2,1,1,1,2,0.543836888,54.38368879,高风险,45.61631121,一般客户,传统散户种植,0,现金密集型服务业（餐饮、娱乐、KTV）,上海隆实业网络科技有限公司_0026,企业名称：上海隆实业网络科技有限公司_0026；所属行业：现金密集型服务业（餐饮、娱乐、KTV）；资产规模等级：2.00；贷款金额（万元）：3.26；贷款期限（月）：12.00；还款负担水平：4.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：1.00；系统风险评级：高风险；预测违约概率：0.54；综合风险得分：54.38；历史违约记录：0.00
37,中年骨干(35-44岁),已婚,本地户籍,4,蔬菜种植,1,自有房产,5,5.77,小型贷款(5-20万),9,2,0.015,0.524545455,4,2,3,2,1,3,0.155806976,15.58069756,中低风险,84.41930244,优质客户,非柑橘产业,0,医疗卫生服务,浙江隆园艺餐饮管理有限公司_0027,企业名称：浙江隆园艺餐饮管理有限公司_0027；所属行业：医疗卫生服务；资产规模等级：1.00；贷款金额（万元）：5.77；贷款期限（月）：9.00；还款负担水平：2.00；征信评分等级：4.00；历史贷款次数：3.00；账户交易活跃度：2.00；系统风险评级：中低风险；预测违约概率：0.16；综合风险得分：15.58；历史违约记录：0.00
29,青壮年主力(25-34岁),已婚,本地户籍,2,水果种植,4,自有房产,3,17.78,小型贷款(5-20万),15,3,0.015,0.433658537,2,2,1,4,5,3,0.074037486,7.403748602,低风险,92.5962514,优质客户,中型专业种植,0,医疗卫生服务,福建通种植文化传播有限公司_0028,企业名称：福建通种植文化传播有限公司_0028；所属行业：医疗卫生服务；资产规模等级：4.00；贷款金额（万元）：17.78；贷款期限（月）：15.00；还款负担水平：3.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：4.00；系统风险评级：低风险；预测违约概率：0.07；综合风险得分：7.40；历史违约记录：0.00
56,资深经营者(55-64岁),已婚,本地户籍,4,水果种植,4,其他,5,23.98,中型贷款(20-50万),42,4,0.015,0.584878049,4,2,1,3,1,2,0.276741303,27.67413025,中风险,72.32586975,良好客户,规模化智慧种植,0,制造业（含加工）,河北隆信息环保科技有限公司_0029,企业名称：河北隆信息环保科技有限公司_0029；所属行业：制造业（含加工）；资产规模等级：4.00；贷款金额（万元）：23.98；贷款期限（月）：42.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：1.00；账户交易活跃度：3.00；系统风险评级：中风险；预测违约概率：0.28；综合风险得分：27.67；历史违约记录：0.00
47,成熟经营者(45-54岁),已婚,本地户籍,4,水果种植,2,自有房产,5,15.085,小型贷款(5-20万),30,4,0.015,0.718333333,4,2,1,3,1,3,0.126432561,12.64325608,中低风险,87.35674392,优质客户,传统散户种植,0,公共事业/市政服务,黑龙江顺农产品个体经营_0030,企业名称：黑龙江顺农产品个体经营_0030；所属行业：公共事业/市政服务；资产规模等级：2.00；贷款金额（万元）：15.09；贷款期限（月）：30.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：1.00；账户交易活跃度：3.00；系统风险评级：中低风险；预测违约概率：0.13；综合风险得分：12.64；历史违约记录：0.00
37,中年骨干(35-44岁),已婚,本地户籍,4,水果种植,3,自有房产,4,17.675,小型贷款(5-20万),36,4,0.015,0.57016129,4,2,2,4,1,3,0.144373305,14.43733046,中低风险,85.56266954,优质客户,中型专业种植,0,公共事业/市政服务,福建盛种植种养专业合作社_0031,企业名称：福建盛种植种养专业合作社_0031；所属行业：公共事业/市政服务；资产规模等级：3.00；贷款金额（万元）：17.68；贷款期限（月）：36.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：4.00；系统风险评级：中低风险；预测违约概率：0.14；综合风险得分：14.44；历史违约记录：0.00
34,青壮年主力(25-34岁),已婚,本地户籍,4,畜禽养殖,3,自有房产,5,33.07,中型贷款(20-50万),36,4,0.015,1.066774194,4,2,2,4,1,3,0.162404355,16.24043555,中低风险,83.75956445,优质客户,非柑橘产业,0,医疗卫生服务,湖北通农业专业合作社_0032,企业名称：湖北通农业专业合作社_0032；所属行业：医疗卫生服务；资产规模等级：3.00；贷款金额（万元）：33.07；贷款期限（月）：36.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：4.00；系统风险评级：中低风险；预测违约概率：0.16；综合风险得分：16.24；历史违约记录：0.00
28,青壮年主力(25-34岁),已婚,本地户籍,1,水果种植,3,自有房产,4,6.88,小型贷款(5-20万),24,4,0.015,0.221935484,2,2,1,4,3,3,0.155733184,15.57331836,中低风险,84.42668164,优质客户,中型专业种植,0,公共事业/市政服务,内蒙古兴种植个体工商户_0033,企业名称：内蒙古兴种植个体工商户_0033；所属行业：公共事业/市政服务；资产规模等级：3.00；贷款金额（万元）：6.88；贷款期限（月）：24.00；还款负担水平：4.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：4.00；系统风险评级：中低风险；预测违约概率：0.16；综合风险得分：15.57；历史违约记录：0.00
36,中年骨干(35-44岁),已婚,本地户籍,3,水果种植,1,自有房产,2,8.605,小型贷款(5-20万),15,2,0.015,0.782272727,2,2,1,1,1,3,0.409997009,40.99970091,中高风险,59.00029909,一般客户,传统散户种植,0,网络赌博相关业务,山西源实业有限责任公司_0034,企业名称：山西源实业有限责任公司_0034；所属行业：网络赌博相关业务；资产规模等级：1.00；贷款金额（万元）：8.61；贷款期限（月）：15.00；还款负担水平：2.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：1.00；系统风险评级：中高风险；预测违约概率：0.41；综合风险得分：41.00；历史违约记录：0.00
39,中年骨干(35-44岁),已婚,本地户籍,4,水果种植,4,自有房产,5,4.3,微型贷款(5万以下),6,1,0.015,0.104878049,4,2,2,1,1,3,0.267500387,26.75003868,中风险,73.24996132,良好客户,中型专业种植,0,建筑施工/工程承包,福建源信息装饰工程有限公司_0035,企业名称：福建源信息装饰工程有限公司_0035；所属行业：建筑施工/工程承包；资产规模等级：4.00；贷款金额（万元）：4.30；贷款期限（月）：6.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中风险；预测违约概率：0.27；综合风险得分：26.75；历史违约记录：0.00
38,中年骨干(35-44岁),已婚,本地户籍,1,蔬菜种植,1,自有房产,5,7.475,小型贷款(5-20万),12,4,0.015,0.679545455,4,1,2,4,1,3,0.061743598,6.174359789,低风险,93.82564021,优质客户,非柑橘产业,0,农业种植/养殖,湖北昌生态专业合作社_0036,企业名称：湖北昌生态专业合作社_0036；所属行业：农业种植/养殖；资产规模等级：1.00；贷款金额（万元）：7.47；贷款期限（月）：12.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：4.00；系统风险评级：低风险；预测违约概率：0.06；综合风险得分：6.17；历史违约记录：0.00
26,青壮年主力(25-34岁),已婚,本地户籍,2,水果种植,4,自有房产,5,9.67,小型贷款(5-20万),12,2,0.015,0.235853659,4,2,2,4,1,3,0.100764982,10.07649818,中低风险,89.92350182,优质客户,中型专业种植,0,医疗卫生服务,贵州兴园艺旅游开发有限公司_0037,企业名称：贵州兴园艺旅游开发有限公司_0037；所属行业：医疗卫生服务；资产规模等级：4.00；贷款金额（万元）：9.67；贷款期限（月）：12.00；还款负担水平：2.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：4.00；系统风险评级：中低风险；预测违约概率：0.10；综合风险得分：10.08；历史违约记录：0.00
31,青壮年主力(25-34岁),已婚,本地户籍,1,水果种植,2,自有房产,3,16.89,小型贷款(5-20万),18,2,0.015,0.804285714,2,2,1,4,5,3,0.045277621,4.527762122,低风险,95.47223788,优质客户,传统散户种植,0,文化艺术/广告传媒,甘肃昌园艺教育科技有限公司_0038,企业名称：甘肃昌园艺教育科技有限公司_0038；所属行业：文化艺术/广告传媒；资产规模等级：2.00；贷款金额（万元）：16.89；贷款期限（月）：18.00；还款负担水平：2.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：4.00；系统风险评级：低风险；预测违约概率：0.05；综合风险得分：4.53；历史违约记录：0.00
41,中年骨干(35-44岁),已婚,本地户籍,2,畜禽养殖,3,租赁房产,5,19.34,小型贷款(5-20万),24,4,0.015,0.623870968,4,2,2,4,1,2,0.128670679,12.86706789,中低风险,87.13293211,优质客户,非柑橘产业,0,医疗卫生服务,重庆昌农产品种养专业合作社_0039,企业名称：重庆昌农产品种养专业合作社_0039；所属行业：医疗卫生服务；资产规模等级：3.00；贷款金额（万元）：19.34；贷款期限（月）：24.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：4.00；系统风险评级：中低风险；预测违约概率：0.13；综合风险得分：12.87；历史违约记录：0.00
23,青年创业者(25岁以下),已婚,本地户籍,4,水果种植,1,自有房产,4,4.98,微型贷款(5万以下),12,4,0.015,0.452727273,4,2,2,4,5,3,0.028636455,2.86364546,低风险,97.13635454,优质客户,传统散户种植,0,文化艺术/广告传媒,山东鑫园艺文化传播有限公司_0040,企业名称：山东鑫园艺文化传播有限公司_0040；所属行业：文化艺术/广告传媒；资产规模等级：1.00；贷款金额（万元）：4.98；贷款期限（月）：12.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：4.00；系统风险评级：低风险；预测违约概率：0.03；综合风险得分：2.86；历史违约记录：0.00
58,资深经营者(55-64岁),已婚,本地户籍,4,蔬菜种植,1,自有房产,5,8.775,小型贷款(5-20万),24,4,0.015,0.797727273,2,2,1,1,1,3,0.506984796,50.69847961,中高风险,49.30152039,一般客户,非柑橘产业,0,现金密集型服务业（餐饮、娱乐、KTV）,湖北恒实业有限责任公司_0041,企业名称：湖北恒实业有限责任公司_0041；所属行业：现金密集型服务业（餐饮、娱乐、KTV）；资产规模等级：1.00；贷款金额（万元）：8.78；贷款期限（月）：24.00；还款负担水平：4.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：1.00；系统风险评级：中高风险；预测违约概率：0.51；综合风险得分：50.70；历史违约记录：0.00
